image,Default,Tuned,Change (%)
IMG_3622_block_2_1_png_jpg.rf.903c8adb64d80e0003a68490ce79e770.jpg,1,1,0.0
IMG_3622_block_2_1_png_jpg.rf.bfcd7e34537c0e1e2d7c217a540b84ca.jpg,5,4,-20.0
IMG_3622_block_2_1_png_jpg.rf.c38a3453f1179c0ac0c3bad970b71122.jpg,2,2,0.0
IMG_3623_block_0_2_png_jpg.rf.64d52b4b39e8f9e30feba06037c8562f.jpg,1,1,0.0
IMG_3623_block_0_2_png_jpg.rf.80aacdec6977e06def0c763f644da87a.jpg,1,1,0.0
IMG_3623_block_0_2_png_jpg.rf.c865fa1cc1da8a782314d68a351a3b82.jpg,2,1,-50.0
IMG_3623_block_1_1_png_jpg.rf.43b7cc68bf4b849ec6b85c70a12a517d.jpg,9,9,0.0
IMG_3623_block_1_1_png_jpg.rf.563e16b2372c2924c78e35533be0bf3c.jpg,9,9,0.0
IMG_3623_block_1_1_png_jpg.rf.923338f320a73587be8a47924c0fef40.jpg,9,9,0.0
IMG_3623_block_1_2_png_jpg.rf.2836c84df924f8080240e680813d7363.jpg,6,6,0.0
IMG_3623_block_1_2_png_jpg.rf.3fa49477b76ceba56c0083efaf5e4425.jpg,6,5,-16.67
IMG_3623_block_1_2_png_jpg.rf.c031d2168beb5ced39ffac3c9e7388c8.jpg,6,5,-16.67
IMG_3623_block_2_0_png_jpg.rf.0104349518637c59e8065d2b8de085b3.jpg,2,2,0.0
IMG_3623_block_2_0_png_jpg.rf.5924fb83ebf910d44c7650784e74c52c.jpg,2,2,0.0
IMG_3623_block_2_0_png_jpg.rf.656dc91b32e3bea405c50e0dc5356653.jpg,3,3,0.0
IMG_3623_block_2_1_png_jpg.rf.0ed8d1fabc6fa6eb3793056a67601437.jpg,1,1,0.0
IMG_3623_block_2_1_png_jpg.rf.820b6078939a508c7367868884bac872.jpg,3,3,0.0
IMG_3623_block_2_1_png_jpg.rf.9bd276359c23aed753ac5001807dbb0b.jpg,1,1,0.0
IMG_3623_block_2_1_png_jpg.rf.dea11a931998e893249bbd88fc55e2cb.jpg,3,3,0.0
IMG_3624_block_0_1_png_jpg.rf.39a3af17cc68c5bfe9e5ea67d543ac1c.jpg,2,2,0.0
IMG_3624_block_0_1_png_jpg.rf.4268eeb4982fbb444c897845cbe65653.jpg,1,1,0.0
IMG_3625_block_2_2_png_jpg.rf.89f033f70a95904989319573b3f8334e.jpg,1,1,0.0
IMG_3627_block_2_1_png_jpg.rf.23fcab95ef3f7df4a74f825202912603.jpg,18,17,-5.56
IMG_3627_block_2_1_png_jpg.rf.863e5da19651a8de8920ec31a520b5bb.jpg,48,39,-18.75
IMG_3627_block_2_1_png_jpg.rf.c3794de2af086ffd7b08c10e17066681.jpg,23,18,-21.74
IMG_3627_block_2_1_png_jpg.rf.cdcc07a696d14ef42499bfd89ea84318.jpg,22,15,-31.82
IMG_3627_block_2_1_png_jpg.rf.f82c966d3daa6a27c8625c58b0454f58.jpg,40,29,-27.5
